order_id;return_comment;return_comment_date
287963989;addressee unknown;15.07.2015
305279091;addressee has moved;15.07.2015
304112166;addressee unknown;15.07.2015
305021121;addressee unknown;15.07.2015
307212825;addressee unknown;15.07.2015
305760529;addressee unknown;15.07.2015
303228150;addressee unknown;15.07.2015
298317242;addressee unknown;15.07.2015
302732918;addressee unknown;15.07.2015
297303095;addressee unknown;15.07.2015
303615689;addressee unknown;15.07.2015
299631260;addressee unknown;15.07.2015
305857156;addressee unknown;16.07.2015
303228578;addressee unknown;16.07.2015
304611922;addressee unknown;16.07.2015
301120337;addressee unknown;20.07.2015
292092832;addressee unknown;20.07.2015
296057813;addressee unknown;20.07.2015
296374279;addressee unknown;20.07.2015
310686698;addressee has moved;22.07.2015
308080950;addressee unknown;23.07.2015
307201278;addressee unknown;23.07.2015
305741741;addressee unknown;23.07.2015
304395187;addressee unknown;23.07.2015
306284526;addressee unknown;23.07.2015
306304612;addressee unknown;23.07.2015
306999318;addressee unknown;23.07.2015
291295858;addressee unknown;23.07.2015
305852613;addressee unknown;23.07.2015
308118528;addressee unknown;23.07.2015
307848997;addressee unknown;23.07.2015
307193896;addressee unknown;23.07.2015
306324695;addressee unknown;23.07.2015
306715918;addressee unknown;23.07.2015
306324653;addressee unknown;23.07.2015
306287552;addressee unknown;23.07.2015
307014628;addressee unknown;23.07.2015
308430297;addressee unknown;23.07.2015
296708767;addressee unknown;23.07.2015
307198049;addressee unknown;23.07.2015
304609444;addressee unknown;23.07.2015
312121923;addressee has moved;
305851899;addressee unknown;24.07.2015
309334932;addressee unknown;24.07.2015
308694910;addressee unknown;24.07.2015
308958971;addressee unknown;24.07.2015
304414694;addressee unknown;24.07.2015
306523637;addressee unknown;24.07.2015
309365226;addressee unknown;27.07.2015
309799701;addressee unknown;27.07.2015
278490966;addressee unknown;27.07.2015
310060964;addressee unknown;27.07.2015
301130932;addressee unknown;27.07.2015
309806498;addressee unknown;27.07.2015
305383105;addressee unknown;27.07.2015
308364568;addressee unknown;27.07.2015
305248849;addressee unknown;27.07.2015
311156360;addressee has moved;28.07.2015
311490129;addressee unknown;28.07.2015
304100065;addressee has moved;28.07.2015
310267058;addressee unknown;28.07.2015
311495197;addressee unknown;28.07.2015
311003570;addressee unknown;28.07.2015
308659576;addressee unknown;28.07.2015
310269330;addressee unknown;28.07.2015
310732485;addressee unknown;28.07.2015
309788784;addressee has moved;28.07.2015
310767176;addressee unknown;28.07.2015
308824382;addressee unknown;28.07.2015
304865523;addressee unknown;28.07.2015
310061036;addressee unknown;29.07.2015
310246183;addressee unknown;29.07.2015
310606069;addressee unknown;29.07.2015
309806376;addressee unknown;29.07.2015
306318379;addressee unknown;29.07.2015
311001203;addressee unknown;29.07.2015
312621094;addressee unknown;31.07.2015
310971100;addressee unknown;31.07.2015
312178476;addressee unknown;31.07.2015
309860776;addressee unknown;31.07.2015
310689229;addressee unknown;31.07.2015
312421299;addressee unknown;31.07.2015
312178630;addressee unknown;31.07.2015
310964343;addressee has moved;31.07.2015
291269223;addressee unknown;31.07.2015
312725381;addressee unknown;31.07.2015
311456771;addressee unknown;31.07.2015
312458295;addressee unknown;03.08.2015
313184196;addressee unknown;03.08.2015
312516179;addressee unknown;03.08.2015
311720653;addressee unknown;04.08.2015
312419153;addressee unknown;04.08.2015
311786168;addressee unknown;04.08.2015
308944166;addressee unknown;04.08.2015
313008056;addressee unknown;04.08.2015
313429867;addressee unknown;04.08.2015
310261831;addressee unknown;04.08.2015
312166833;addressee unknown;04.08.2015
312541475;addressee unknown;04.08.2015
312977551;addressee unknown;04.08.2015
310467824;addressee has moved;04.08.2015
310254255;addressee unknown;05.08.2015
314398898;addressee unknown;05.08.2015
315044399;addressee unknown;05.08.2015
312789596;addressee unknown;05.08.2015
312483243;addressee unknown;05.08.2015
308985029;addressee unknown;05.08.2015
297513482;addressee unknown;05.08.2015
312188377;addressee unknown;05.08.2015
288546668;addressee unknown;05.08.2015
315268677;addressee unknown;05.08.2015
311386319;addressee unknown;05.08.2015
313614437;addressee unknown;06.08.2015
315045898;addressee unknown;06.08.2015
312435732;addressee unknown;06.08.2015
312499048;addressee unknown;06.08.2015
313001283;addressee unknown;06.08.2015
314440821;addressee unknown;06.08.2015
312961505;addressee unknown;06.08.2015
314416986;addressee unknown;06.08.2015
311015192;addressee unknown;06.08.2015
