"18-Mai-2015","DE","First Order","Returned","3,614.94"
"17-Apr-2015","DE","First Order","Returned","574.45"
"26-Mai-2015","DE","First Order","Returned","3,412.50"
"09-Jul-2015","DE","Outfittery Club Order","Returned","992.25"
"07-Mai-2015","DE","Repeat Order","Returned","2,557.63"
"03-Sep-2015","DE","Repeat Order","Returned","677.65"
"04-Sep-2015","DE","First Order","Returned","597.59"
"08-Mai-2015","DE","Repeat Order","Returned","2,125.82"
"26-Jun-2015","DE","Outfittery Club Order","Returned","514.60"
"19-Aug-2015","DE","First Order","Returned","1,365.96"
"26-Aug-2015","DE","First Order","Returned","3,265.37"
"09-Sep-2015","DE","Repeat Order","Returned","1,489.33"
"02-Jul-2015","DE","First Order","Returned","1,403.75"
"13-Mrz-2015","AT","First Order","Returned","1,148.45"
"17-Jul-2015","DE","First Order","Returned","1,653.45"
"20-Jul-2015","DE","First Order","Returned","2,631.64"
"11-Sep-2015","DE","First Order","Returned","3,911.44"
"06-Aug-2015","DE","First Order","Returned","2,583.10"
"04-Aug-2015","DE","First Order","Returned","2,516.84"
"25-Mrz-2015","DE","Repeat Order","Returned","1,598.95"
"06-Jul-2015","DE","Repeat Order","Returned","1,681.80"
"22-Jun-2015","DE","First Order","Returned","2,015.70"
"24-Feb-2015","DE","Outfittery Club Order","Returned","3,532.28"
"13-Jan-2015","CH","First Order","Returned","1,119.01"
"30-Jun-2015","DE","Outfittery Club Order","Returned","472.55"
"14-Jul-2015","DE","First Order","Returned","1,270.10"
"21-Mai-2015","DE","Repeat Order Follow-on","Returned","209.80"
"29-Jul-2015","DE","Repeat Order","Returned","1,359.05"
"29-Mai-2015","DE","Outfittery Club Order","Returned","3,982.40"
"13-Jul-2015","LU","First Order","Returned","609.45"
"05-Sep-2015","DE","First Order","Returned","3,697.40"
"13-Jul-2015","DE","First Order","Returned","3,282.19"
"15-Sep-2015","DE","First Order","Returned","3,202.85"
"20-Mrz-2015","DE","Repeat Order","Returned","715.50"
"10-Sep-2015","DE","Outfittery Club Order","Returned","3,521.69"
"30-Apr-2015","DE","First Order","Cancelled","789.44"
"21-Jul-2015","DE","First Order","Returned","2,456.98"
"12-Jun-2015","DE","First Order Follow-on","Returned","345.80"
"19-Mrz-2015","DE","First Order","Returned","1,530.99"
"02-Feb-2015","NL","First Order","Returned","1,214.30"
"27-Feb-2015","BE","First Order","Returned","929.45"
"24-Apr-2015","DE","First Order","Kept","664.40"
"19-Jun-2015","DE","Outfittery Club Order","Returned","729.15"
"28-Mai-2015","DE","First Order","Returned","1,354.94"
"16-Jun-2015","DE","First Order","Returned","1,827.60"
"14-Aug-2015","DE","First Order","Returned","22,356.04"
"30-Mai-2015","DE","First Order","Returned","585.65"
"26-Feb-2015","DE","Repeat Order Follow-on","Lost","331.45"
"31-Jul-2015","DE","First Order","Returned","6,109.51"
"20-Apr-2015","CH","Repeat Order Follow-on","Returned","757.68"
"25-Aug-2015","AT","Repeat Order","Returned","494.69"
"22-Apr-2015","DE","First Order","Returned","2,534.10"
"10-Jul-2015","NL","First Order","Returned","754.40"
"21-Mai-2015","DE","Repeat Order","Returned","1,826.90"
"12-Mai-2015","DE","Repeat Order","Returned","2,088.40"
"09-Sep-2015","DE","Outfittery Club Order","Returned","1,591.85"
"08-Apr-2015","DE","First Order","Returned","592.35"
"15-Mai-2015","DE","Repeat Order","Kept","636.49"
"01-Jul-2015","DE","First Order","Returned","1,498.70"
"15-Mai-2015","DE","First Order","Returned","1,351.13"
"26-Jun-2015","DE","Repeat Order","Returned","534.65"
"11-Mrz-2015","DE","Repeat Order","Kept","847.45"
"30-Apr-2015","AT","First Order","Returned","765.40"
"28-Jul-2015","DE","First Order","Returned","5,107.04"
"11-Mrz-2015","DE","First Order","Returned","948.45"
"15-Apr-2015","DE","Repeat Order Follow-on","Returned","300.50"
"03-Sep-2015","DE","Outfittery Club Order","Returned","4,619.64"
"02-Sep-2015","AT","First Order","Returned","874.20"
"28-Apr-2015","DE","Repeat Order","Returned","659.45"
"27-Aug-2015","DE","First Order","Returned","2,562.29"
"13-Mai-2015","DE","Repeat Order","Returned","1,953.70"
"09-Jul-2015","DE","Repeat Order","Returned","2,332.29"
"16-Jun-2015","DE","Repeat Order Follow-on","","79.95"
"08-Jul-2015","DE","First Order","Returned","589.60"
"28-Aug-2015","DE","First Order","Returned","4,757.58"
